Tickers,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
MSFT,0.01614395,-0.036113723,0.009623301,-0.038926515,0.000664308,0.014991877,0.012436366,-0.007602017,-0.003560694,0.016472012,-0.013198406,-0.008627531
AAPL,0.002336851,0.004623386,-0.005089638,0.000388111,0.001749154,0.001684642,0.001800827,0.001351419,-0.001930828,0.000960063,-0.001048976,-0.002777025
NVDA,-0.000260576,-0.002318055,-0.000845186,-0.001243714,-0.004987807,-0.002753794,0.00041162,0.000747254,0.001339638,0.000679557,0.000419086,-0.000511824
GOOG,-0.012101159,0.018599232,0.02447392,-0.029592238,0.010410839,0.040907775,0.021096208,-0.006115149,-0.002428881,-0.004064401,-0.015887721,-0.012934169
GOOGL,-0.014167217,0.014504204,0.030321786,-0.022901832,0.006401935,0.033255116,0.019271286,-0.005163569,-0.004527803,0.000309039,-0.012404263,-0.01039075
AMZN,-0.007044852,0.005729858,0.005767141,-0.005677164,-0.00203667,0.006766363,0.002247137,-0.002402893,0.005988933,0.003674811,0.003364233,-0.007282583
META,0.041319454,-0.003981954,-0.010608221,-0.036357071,0.009499996,-0.031903213,-0.02083574,0.014389992,0.002789149,-0.018685851,0.014569245,-0.026607575
TSLA,0.008215003,0.003211657,-0.002842676,-0.001169879,0.002699484,-0.004186743,0.004136641,-0.009316045,0.005876401,0.002124757,-0.009072019,-0.001305764
TSM,-0.074034626,-0.051805195,0.011240169,0.076565667,0.015113187,0.032025329,0.008797805,-0.023393339,0.030598553,0.086344829,-0.044341979,-0.04063578
ORCL,0.007012081,0.058372842,0.016781192,-0.015209284,0.128439693,-0.013360201,0.055345408,0.040148623,0.016342458,0.094571347,0.058035777,-0.004632831
Aggregate,-0.003258109,0.001082225,0.007882179,-0.007412392,0.016795412,0.007742715,0.010470756,0.000264427,0.005048693,0.018238616,-0.001956502,-0.011570583
